"Timestamp","1. Mobile apps should allow users to exercise control and autonomy over decisions about how their information is collected, used, and shared.","2. Consumer control of personal information is important to mobile app privacy. ","3. I don’t believe that mobile app privacy is compromised when the user loses control over their information as a result of an app usage.","1. Mobile app developers seeking information should disclose the way the data are collected, processed, and used.","2. A good mobile app privacy policy should have a clear and conspicuous disclosure.","3. It is not very important to me that I am aware and knowledgeable about how my personal information will be used.","1. It usually bothers me when smartphone apps ask me for personal information.","2. When mobile apps ask me for personal information, I sometimes think twice before providing it.","3. It bothers me to give personal information to so many mobile apps.","4. I’m not concerned that smartphone apps are collecting too much personal information about me.","1. Mobile apps should not use personal information for any purpose unless it has been authorized by the individuals who provided information.","2. When people give personal information to a mobile app  for some reason, the app developer should never use the information for any other reason.","3. Mobile app developers should be allowed to sell the personal information in their computer databases to other companies.","4. Mobile app developers should never share personal information with other companies unless it has been authorized by the individual who provided the information.","Your MTurk worker ID."
"2019/11/24 7:51:12 PM EST","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A3OLRWACCCCUTU"
"2019/11/24 7:51:17 PM EST","Agree","Strongly agree","Disagree","Agree","Strongly agree","Strongly disagree","Neither agree nor disagree","Agree","Agree","Disagree","Agree","Strongly agree","Disagree","Strongly agree","A33VGSEJ44ORMF"
"2019/11/24 7:51:17 PM EST","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Disagree","Agree","Agree","Agree","Disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","APGX2WZ59OWDN"
"2019/11/24 7:51:35 PM EST","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Somewhat agree","Somewhat disagree","Strongly agree","Agree","Agree","Somewhat disagree","Somewhat agree","Agree","Somewhat disagree","Agree","A2SKH7WZUEDGGI"
"2019/11/24 7:51:36 PM EST","Strongly agree","Strongly agree","Somewhat disagree","Strongly agree","Strongly agree","Strongly disagree","Agree","Strongly agree","Agree","Disagree","Agree","Strongly agree","Strongly disagree","Strongly agree","A6U2C66WQ7QQN"
"2019/11/24 7:52:29 PM EST","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A2FUPODRRCESB"
"2019/11/24 7:52:57 PM EST","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Agree","Agree","Agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A1IHI23KH87K5W"
"2019/11/24 7:53:32 PM EST","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Somewhat agree","Agree","Somewhat agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A3QSFE6GKO157S"
"2019/11/24 7:53:50 PM EST","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A34D413HR7ZIFM"
"2019/11/24 7:54:00 PM EST","Agree","Somewhat agree","Disagree","Strongly agree","Agree","Disagree","Somewhat agree","Agree","Somewhat agree","Somewhat disagree","Agree","Strongly agree","Disagree","Agree","A2YBZFSUD5OP7W"
"2019/11/24 7:54:05 PM EST","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly disagree","Agree","Strongly agree","Agree","Strongly disagree","Agree","Agree","Strongly disagree","Agree","A2JLNI234KEKKE"
"2019/11/24 7:54:20 PM EST","Strongly agree","Strongly agree","Strongly disagree","Agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Agree","Strongly disagree","Agree","Strongly agree","Strongly disagree","Strongly agree","A2DFNNDO9YE0NL"
"2019/11/24 7:54:32 PM EST","Strongly agree","Strongly agree","Strongly disagree","Agree","Agree","Strongly disagree","Agree","Agree","Strongly agree","Disagree","Agree","Agree","Disagree","Agree","A1GV0UZU0T2ORS"
"2019/11/24 7:56:38 PM EST","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A39YBLQYIUBR76"
"2019/11/24 7:57:42 PM EST","Strongly agree","Strongly agree","Disagree","Agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A2SSYBUT9ZM0G9"
"2019/11/24 7:58:20 PM EST","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Disagree","Agree","Agree","Agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Agree","A207IHY6GERCFO"
"2019/11/24 7:58:31 PM EST","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Agree","Agree","Agree","Disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A1XUZFDVKP95VC"
"2019/11/24 7:59:12 PM EST","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Agree","Agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A3GM78FCDY293T"
"2019/11/24 7:59:37 PM EST","Agree","Agree","Neither agree nor disagree","Agree","Strongly agree","Disagree","Agree","Agree","Agree","Somewhat disagree","Strongly agree","Agree","Disagree","Agree","A183WYXN12P2TJ"
"2019/11/24 8:00:31 PM EST","Strongly agree","Strongly agree","Disagree","Agree","Strongly agree","Strongly disagree","Agree","Agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A3TUMZ954ORSUC"
"2019/11/24 8:01:10 PM EST","Somewhat agree","Somewhat agree","Somewhat disagree","Agree","Agree","Disagree","Agree","Somewhat agree","Agree","Disagree","Disagree","Somewhat agree","Disagree","Agree","A38DC3BG1ZCVZ2"
"2019/11/24 8:01:45 PM EST","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly disagree","Agree","Strongly agree","Agree","Disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A1V2M2C00I5SWW"
"2019/11/24 8:02:27 PM EST","Somewhat agree","Strongly agree","Strongly disagree","Strongly agree","Agree","Disagree","Agree","Agree","Agree","Disagree","Strongly agree","Agree","Somewhat disagree","Strongly agree","A3IR7DFEKLLLO"
"2019/11/24 8:03:40 PM EST","Agree","Strongly agree","Somewhat disagree","Agree","Agree","Disagree","Somewhat agree","Strongly agree","Agree","Disagree","Strongly agree","Agree","Strongly disagree","Strongly agree","A37WDOIQH6JM6V"
"2019/11/24 8:04:11 PM EST","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Somewhat agree","Somewhat agree","Agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","AMA18W8F60Y2J"
"2019/11/24 8:04:16 PM EST","Strongly agree","Agree","Somewhat disagree","Strongly agree","Strongly agree","Disagree","Agree","Agree","Agree","Disagree","Agree","Strongly agree","Agree","Agree","A2SWQM5X54P1O5"
"2019/11/24 8:04:28 PM EST","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A2WNW8A4MOR7T7"
"2019/11/24 8:04:35 PM EST","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A20NITCOBY4775"
"2019/11/24 8:04:53 PM EST","Agree","Somewhat agree","Agree","Neither agree nor disagree","Agree","Somewhat agree","Strongly agree","Agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree","Strongly agree","A7150GR6HRY5D"
"2019/11/24 8:05:05 PM EST","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Agree","Disagree","Agree","Agree","Agree","Strongly disagree","Agree","Agree","Strongly disagree","Agree","ASB8T0H7L99RF"
"2019/11/24 8:05:15 PM EST","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A2TG7EEQ2XG2IK"
"2019/11/24 8:05:48 PM EST","Strongly agree","Agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Agree","Strongly agree","Disagree","Strongly agree","Agree","Strongly disagree","Strongly agree","A3FGT6EU39C6S4"
