"Timestamp","1. Mobile app privacy is about a user's right to exercise control over decisions about how their information is collected, used, and shared.","2. Consumer control of personal information is essential to mobile app privacy. ","3. I don't believe that mobile app privacy is compromised when the user loses control over their information as a result of an app usage.","1. Mobile app developers seeking information should disclose the way the data are collected, processed, and used.","2. A good mobile app privacy policy should have a clear and conspicuous disclosure. ","3. It is not very important to me that I am aware and knowledgeable about how my personal information will be used.","1. It usually bothers me when smartphone apps ask me for personal information. ","2. When mobile apps ask me for personal information, I sometimes think twice before providing it.","3. It bothers me to give personal information to so many mobile apps.","4. I'm not concerned that smartphone apps are collecting too much personal information about me.","1. Mobile apps should not use personal information for any purpose unless it has been authorized by the individuals who provided information.","2. When people give personal information to a mobile app for some reason, the app developer should never use the information for any other reason.","3. Mobile app developers should be allowed to sell the personal information in their computer databases to other companies.","4. Mobile app developers should never share personal information with other companies unless it has been authorized by the individual who provided the information.","Your MTurk worker ID."
"2019/11/25 1:34:35 AM EST","Strongly agree","Strongly agree","Neither agree nor disagree","Agree","Strongly agree","Disagree","Agree","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly disagree","Agree","A54KH61CDVIB6"
"2019/11/25 1:35:36 AM EST","Agree","Agree","Disagree","Strongly agree","Agree","Strongly disagree","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","AIQ1I6ODSIO56"
"2019/11/25 1:39:06 AM EST","Agree","Agree","Disagree","Strongly agree","Strongly agree","Strongly disagree","Agree","Strongly agree","Agree","Disagree","Agree","Agree","Strongly disagree","Strongly agree","A2QD9PJUKW7PKK"
"2019/11/25 1:39:18 AM EST","Agree","Disagree","Neither agree nor disagree","Agree","Strongly agree","Agree","Disagree","Agree","Neither agree nor disagree","Disagree","Strongly agree","Agree","Strongly agree","Disagree","A3VOMP0WOJTB4I"
"2019/11/25 2:01:24 AM EST","Strongly agree","Agree","Neither agree nor disagree","Agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Disagree","Disagree","Neither agree nor disagree","Strongly agree","Agree","A2E6G3YGPG97B6"
"2019/11/25 2:04:26 AM EST","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly disagree","Agree","Strongly agree","Agree","Disagree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","A13XXMDHOULEZ7"
"2019/11/25 2:05:43 AM EST","Agree","Agree","Neither agree nor disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Disagree","Agree","Neither agree nor disagree","Disagree","Neither agree nor disagree","A6FQHZ58DQ0S6"
"2019/11/25 2:06:16 AM EST","Agree","Agree","Neither agree nor disagree","Strongly agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Disagree","Agree","Agree","Disagree","Agree","AEWGY34WUIA32"
"2019/11/25 2:17:42 AM EST","Neither agree nor disagree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","A1LOD3LNX7FUPJ"
"2019/11/25 2:19:05 AM EST","Neither agree nor disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Disagree","Strongly agree","Strongly agree","Strongly agree","Disagree","Agree","Agree","Agree","Agree","A1G10UPKNT2YEX"
"2019/11/25 2:28:10 AM EST","Agree","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","A3QI1RV4HQ9MOC"
"2019/11/25 2:29:13 AM EST","Agree","Agree","Strongly agree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Agree","Agree","Agree","Neither agree nor disagree","AORHXBTOCXFUK"
"2019/11/25 2:36:07 AM EST","Neither agree nor disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Disagree","Agree","Agree","Disagree","Agree","A20PV3RB3I0W8S"
"2019/11/25 2:36:59 AM EST","Agree","Agree","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Strongly agree","Agree","Neither agree nor disagree","Agree","Agree","A1Q4N7ZTNI9IKX"
"2019/11/25 2:37:33 AM EST","Agree","Neither agree nor disagree","Agree","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Agree","Agree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","A2UHK8HUXXMSVM"
"2019/11/25 2:43:15 AM EST","Agree","Agree","Agree","Agree","Agree","Neither agree nor disagree","Agree","Agree","Agree","Neither agree nor disagree","Agree","Strongly agree","Disagree","Agree","A25OEVVN0293PO"
"2019/11/25 2:48:51 AM EST","Agree","Agree","Agree","Agree","Neither agree nor disagree","Agree","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","Disagree","Agree","A35T6IAX6MHNHC"
"2019/11/25 3:26:47 AM EST","Strongly agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Neither agree nor disagree","A2HWLIJP5OVFD5"
"2019/11/25 3:53:13 AM EST","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Agree","Strongly agree","Strongly agree","Strongly disagree","Agree","Strongly agree","Strongly disagree","Strongly agree","A5V3ZMQI0PU3F"
"2019/11/25 4:43:44 AM EST","Strongly agree","Disagree","Strongly agree","Neither agree nor disagree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A1Q7VWUBIJOK17"
"2019/11/25 5:08:32 AM EST","Agree","Agree","Neither agree nor disagree","Agree","Strongly agree","Disagree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Neither agree nor disagree","Agree","A272A0JGRTBFCR"
